gene_symbol	Spearman_rho
DENND1A	-0.292692239
TMEM106C	-0.292310483
EPOP	-0.292176869
SETD1B	-0.291890552
FBXL16	-0.291604235
CCDC6	-0.291489708
LTK	-0.291451532
AKAP13	-0.291031601
TOR1A	-0.290802547
BICC1	-0.290115387
HMGCR	-0.289924509
GALNT11	-0.289771806
CD24	-0.289752719
ADAR	-0.289351875
DOCK9-AS2	-0.288607451
FOXG1	-0.288130256
FRMD6	-0.287710325
ARFGAP3	-0.287691237
SUMO3	-0.28740492
DIAPH2	-0.287271305
WSB2	-0.287137691
RAN	-0.287099515
CRYZL2P	-0.28662232
EARS2	-0.286584145
SPICE1	-0.286488706
INSM1	-0.286259652
NMT2	-0.285877896
FIG4	-0.285858809
FAM53C	-0.285228911
LONRF2	-0.284942595
CASD1	-0.284770804
HTR2C	-0.284599014
NIPSNAP3B	-0.284599014
CD200	-0.284560839
THRB	-0.284484487
SLC25A26	-0.284179083
ADGRL3	-0.28402638
OGG1	-0.283301044
ASTN1	-0.283091078
CHRM2	-0.282804762
NOL4	-0.281506792
ENSA	-0.281411353
SH2D5	-0.280991421
LRRC39	-0.280934158
AHRR	-0.28091507
SIRPA	-0.280724192
EGR3	-0.280686016
MKL1	-0.28057149
BEX2	-0.280552402
MAPT	-0.280552402
SAMD14	-0.280456963
CDKN2D	-0.280361524
GLP2R	-0.279998856
PCLO	-0.279922505
MED28	-0.279922505
RPL36A	-0.279674363
RND3	-0.279655275
LOC728739	-0.279464398
KCNV1	-0.27900629
WDR47	-0.278949027
DPF1	-0.278929939
DRC1	-0.278910851
INTS3	-0.278643622
MYO7A	-0.278510008
LANCL2	-0.278510008
FAM83H	-0.278452744
DIEXF	-0.278433657
CCDC3	-0.27831913
BLCAP	-0.27831913
RAB6B	-0.277937374
CFAP44	-0.277918286
RUNDC1	-0.277880111
SLC1A1	-0.27770832
AHR	-0.277460179
CDC6	-0.277441091
TRAPPC2	-0.277383828
HTR4	-0.277212038
MAP4K3	-0.27719295
XK	-0.27702116
DKK3	-0.276505789
DCP2	-0.276467614
FBXL2	-0.27641035
DPP10-AS1	-0.276143121
ELL3	-0.276124034
ANKRD30BP2	-0.27606677
PPP1R12B	-0.275627751
NEDD4L	-0.275455961
PIANP	-0.275341434
RMI2	-0.275265083
BAIAP2-AS1	-0.274387044
BSN	-0.274272517
CSTF3	-0.274196166
IGSF3	-0.274119815
PEX5	-0.27381441
CNTN1	-0.273738059
PPIL6	-0.273509006
FIGNL2	-0.273489918
TMEM164	-0.272898196
PPP1R1B	-0.27234465
CNTNAP2	-0.272325562
CAND2	-0.272115597
MAN1A1	-0.272077421
RNF149	-0.271962894
CDK20	-0.271810192
WDR34	-0.271714753
ZNF764	-0.271447524
SMAD4	-0.271180295
PJA2	-0.271180295
CLDN4	-0.271065768
CALB2	-0.270913066
TMEM132B	-0.270684012
SOCS7	-0.270626749
C22orf39	-0.270569485
PTCH1	-0.270569485
SLC25A22	-0.270321344
ZBTB18	-0.270283168
CBX6	-0.270283168
YAF2	-0.270244993
CANX	-0.269901413
KIRREL3	-0.269767798
CPNE5	-0.269634183
BEGAIN	-0.269481481
MKL2	-0.269366954
SEC22B	-0.269290603
GPR6	-0.26906155
MTA3	-0.268832496
TXLNB	-0.268527091
LAMB3	-0.268393477
ST6GALNAC5	-0.268355301
LHX2	-0.26827895
APMAP	-0.268259862
MAL2	-0.268240774
CRLF3	-0.268164423
PGBD5	-0.268068984
CNOT7	-0.268049896
LMBRD2	-0.26793537
HOPX	-0.26776358
SV2B	-0.267725404
TUB	-0.267400911
ARMCX1	-0.267362736
PCNX1	-0.26732456
COL4A3BP	-0.267286385
RAPH1	-0.267286385
ENPP7P13	-0.267210034
GSTM5	-0.267171858
ICMT	-0.267038243
SIDT1	-0.267000068
ATXN7L3B	-0.266656487
SUSD1	-0.26646561
CPNE8	-0.266102941
SEMA4F	-0.26602659
GABRB3	-0.265740273
TCEAL6	-0.265644834
RAB9B	-0.265453956
CMAS	-0.265072201
SHISA5	-0.264442303
NEBL-AS1	-0.264308689
CCNA1	-0.264289601
ARMCX2	-0.264098723
ZNF550	-0.264022372
NUDT11	-0.264003284
NOMO1	-0.263640616
DOC2A	-0.263621528
MFSD4A	-0.263335211
CCKBR	-0.263316123
RYK	-0.263277948
MAP2K1	-0.26325886
GLRA3	-0.263010719
UBE3A	-0.262896192
ZNF215	-0.262667138
CA8	-0.262438085
CITED1	-0.262323558
CRMP1	-0.262266295
SLC22A3	-0.262113592
PCDH19	-0.261979978
MYH7	-0.261903627
PAK1	-0.261827276
TMEM246	-0.261712749
WFS1	-0.261311905
HPCAL4	-0.261292817
CTNNA2	-0.261292817
ERH	-0.261082852
ELK1	-0.260815622
CYS1	-0.260777447
GRK5	-0.260682008
VEZT	-0.260605657
CBLL1	-0.260510218
HPCA	-0.260357515
LYSMD1	-0.260357515
CREG2	-0.260300252
GULP1	-0.260262076
RCSD1	-0.260185725
GPC5	-0.259651267
TCEAL5	-0.259517652
VKORC1L1	-0.259422213
NPPA	-0.259403126
SMS	-0.259250423
KCNT2	-0.258906843
TMEM107	-0.258696877
FKBP1A	-0.258677789
RPUSD4	-0.258677789
TDRD9	-0.25858235
TRIM71	-0.258467824
MSX1	-0.258467824
NDST3	-0.25806698
KLF8	-0.258009717
RANBP3L	-0.258009717
HMGCS1	-0.257589785
PRKDC	-0.257589785
DDX25	-0.257570697
B3GNT4	-0.257475258
SNAPC5	-0.257303468
KCNK1	-0.257227117
A1BG-AS1	-0.257131678
PFN2	-0.256978976
SNRNP27	-0.256883537
MORN4	-0.256864449
CPE	-0.256864449
EPHA4	-0.256711747
GLOD4	-0.25659722
LOC100288911	-0.256501781
TAGLN3	-0.256463605
TMEM91	-0.256463605
PRNP	-0.256406342
EFNB3	-0.256406342
FGF2	-0.256100937
ICAM5	-0.256043674
PUS3	-0.256024586
SH3BGR	-0.256024586
PAPD5	-0.255910059
SMAP2	-0.255910059
NUDCD1	-0.255852796
WDR36	-0.255681006
HCN3	-0.255547391
NBEA	-0.255451952
CDC42SE2	-0.255165635
FBXO34	-0.255108372
PPIL1	-0.255089284
LOC100126784	-0.254898406
C2orf80	-0.254879318
KCNK2	-0.254822055
CDH4	-0.254745704
RNF139	-0.254268509
COPS4	-0.254230333
WDFY1	-0.254058543
MRPL3	-0.253944016
PITHD1	-0.253905841
AK4	-0.253714963
GLRA2	-0.253676787
ANKDD1A	-0.253562261
UCHL1	-0.253524085
SSBP4	-0.253466822
STMN3	-0.253466822
USP39	-0.253447734
EIF2S1	-0.253447734
POLR3C	-0.25339047
PTEN	-0.253180505
ARHGEF12	-0.253142329
ARHGAP28	-0.25304689
TNFRSF11A	-0.253008715
EXOC6	-0.252989627
TSPAN33	-0.252970539
STYK1	-0.252836924
SLC6A16	-0.252779661
NCKAP1	-0.252684222
RTN4RL1	-0.252665134
ACSF2	-0.252665134
JPT1	-0.252646046
TLK1	-0.252646046
MAN2B2	-0.25235973
YEATS2	-0.252340642
KCNA4	-0.252187939
RNF121	-0.252187939
DLG3	-0.252168852
PGM2L1	-0.252035237
C16orf87	-0.251825271
CRCP	-0.251806183
SNX2	-0.251710744
RNF185	-0.251672569
TMEM178B	-0.251653481
DNAJB6	-0.251538954
CRSP8P	-0.251500779
ATP6V1H	-0.251500779
GRK6	-0.25140534
SUGT1P3	-0.251328989
STX3	-0.251309901
TAC3	-0.25123355
AP1S1	-0.251176286
SGSM1	-0.251080847
B4GALT3	-0.250928145
PRPH2	-0.250660916
TMEM242	-0.250546389
LINC01750	-0.250374599
FBXL18	-0.25027916
SREBF2	-0.250260072
GRM8	-0.250202809
ARMCX5	-0.249763789
MCHR1	-0.249744702
BABAM2	-0.249725614
STRIP1	-0.249611087
HCG23	-0.249362946
OTUD1	-0.249305682
LIN7B	-0.249305682
MAGEE2	-0.249229331
CA11	-0.249133892
HLF	-0.249095717
NECAB2	-0.248885751
LOC441666	-0.248713961
NEUROD1	-0.248465819
LOC100130705	-0.248446732
ESD	-0.248389468
RBSN	-0.248274942
TLE1	-0.248122239
RIMS1	-0.247740483
NISCH	-0.247702308
IKBIP	-0.247492342
YWHAH	-0.247435079
MYRIP	-0.247015147
GSR	-0.24690062
SERP1	-0.246786094
C9orf40	-0.246767006
PFDN4	-0.246671567
ASIC4	-0.246614303
LOC100506271	-0.246442513
MARCKS	-0.245984406
C1QL2	-0.245965318
MARCH5	-0.245927143
SRI	-0.245736265
KCMF1	-0.245698089
IQSEC2	-0.245621738
LNPK	-0.245507211
ADAMTS19	-0.24543086
XPOT	-0.24543086
SPIN1	-0.24525907
GNB1	-0.245201807
TRUB1	-0.245010929
GABRG1	-0.245010929
LINC01296	-0.244934577
IGF1	-0.244781875
DGCR5	-0.2447437
DNAJC24	-0.244667348
BAALC	-0.244495558
CREB3	-0.24447647
RTL10	-0.244266505
CDH22	-0.24413289
MAP2	-0.243999276
TMEM56	-0.2439611
PPP1R14C	-0.243942012
C17orf58	-0.243884749
ZNHIT3	-0.243712959
RIC3	-0.243331203
PALM3	-0.243312115
C1QL3	-0.243197588
YME1L1	-0.243197588
CACNG3	-0.2431785
PANK2	-0.242777657
RAB28	-0.242720393
C16orf58	-0.242682218
SLC26A11	-0.242644042
BEX4	-0.242644042
STOML1	-0.242567691
FXYD6	-0.242510428
RAB11FIP1	-0.242510428
NEUROD6	-0.242510428
NDUFC2	-0.242434076
FAM19A5	-0.242414989
COL11A1	-0.242281374
RBM24	-0.241975969
CELF3	-0.241899618
CLCN6	-0.24188053
DLX2	-0.24188053
WIPF2	-0.241823267
OLFM3	-0.241766004
JAZF1	-0.241766004
EPB41L4B	-0.241746916
THOC7	-0.241670565
CNTN3	-0.241632389
KRAS	-0.241594213
PGAM1	-0.241460599
GRIA1	-0.241078843
RRAGD	-0.241059755
CCDC117	-0.241040667
SLC26A8	-0.240964316
DUSP3	-0.240964316
LARGE1	-0.240945228
SOBP	-0.240868877
DOCK4	-0.24058256
ARHGEF9	-0.240506209
SERPINF1	-0.240391682
DCAF4	-0.240353507
DDN	-0.240277156
MRPL44	-0.240200804
MTCH2	-0.240181717
PNOC	-0.240162629
GYG2	-0.239933575
GSG1L	-0.239876312
GLT8D2	-0.239857224
TTC30A	-0.239838136
PLB1	-0.239819049
GFM2	-0.239685434
DDX54	-0.239628171
C2orf27A	-0.239628171
ARF1	-0.239609083
SLC30A3	-0.239532732
TSR1	-0.239437293
KPNA2	-0.239399117
HDGFL3	-0.239265503
ARL10	-0.239227327
PCDHB9	-0.239017361
NUDT10	-0.239017361
KLF10	-0.238921922
PIP4K2B	-0.238826483
GNPTAB	-0.238788308
DOK6	-0.238788308
JPH4	-0.238540166
PKIA	-0.23842564
ZNF18	-0.23842564
HPS4	-0.23842564
DBN1	-0.238253849
CERS6	-0.238196586
KIAA1549	-0.23781483
UTP6	-0.23764304
ADAMTS8	-0.237604864
ARHGAP5-AS1	-0.237566689
NPTX2	-0.237547601
GPRASP1	-0.237413987
C1S	-0.237375811
MRAS	-0.23729946
TBPL1	-0.23729946
ABI1	-0.237089494
ST6GALNAC6	-0.236707738
BEX3	-0.236631387
GLUD2	-0.236497772
SHISA9	-0.236478685
TUBA1B	-0.236421421
EBLN3P	-0.236287807
IL15	-0.236230543
RAB11FIP4	-0.236211455
PAK3	-0.236039665
SATL1	-0.235925139
LRRC75A-AS1	-0.235772436
LKAAEAR1	-0.235715173
LOC100507557	-0.235657909
MRPL30	-0.235638822
CAMK2N1	-0.23556247
DRD1	-0.23539068
SHC2	-0.235295241
LINC00869	-0.235295241
PTCHD1	-0.235276154
TUSC3	-0.235257066
LOC440934	-0.23521889
NPTXR	-0.235180715
BBC3	-0.235161627
PCGF3	-0.235028012
UBXN2B	-0.235008924
RNF11	-0.234951661
LRRC2	-0.234684432
GRB14	-0.234665344
SMIM10L2B	-0.234608081
UPP2	-0.23453173
SYTL2	-0.234512642
GANAB	-0.234474466
ZNF678	-0.234436291
DCTN5	-0.234436291
RIMBP2	-0.234207237
DYRK1A	-0.234207237
HTR5A	-0.234149974
B4GAT1	-0.234073622
BHLHB9	-0.234035447
BMT2	-0.233940008
MBLAC2	-0.233863657
CD83	-0.233634603
EIF3J-AS1	-0.233252847
SYNPR	-0.233157408
COL5A2	-0.233100145
HSD11B1L	-0.233023794
SPTLC1	-0.233023794
F12	-0.23296653
ARSJ	-0.232832916
RAET1E-AS1	-0.232680213
Sep 03	-0.232680213
RLBP1	-0.232642038
RASL11B	-0.232584775
C1R	-0.232565687
ERICH3	-0.232546599
NELL2	-0.232508423
SF3B3	-0.232183931
C2CD2L	-0.232164843
SVOP	-0.232088492
SELENBP1	-0.232088492
HECTD4	-0.23193579
KCNN3	-0.23193579
TPX2	-0.231878526
OCRL	-0.231630385
CCDC90B	-0.231439507
GALNTL5	-0.231363156
OAF	-0.231344068
NHSL1	-0.231210453
LOC100240735	-0.231191366
KRT19	-0.231172278
SLC8A2	-0.231095927
STEAP1	-0.231057751
RTL6	-0.230905049
BTBD9	-0.230866873
OXCT1	-0.230828697
NADK2	-0.230695083
SH3GL2	-0.230504205
ERGIC2	-0.230504205
CTNND2	-0.230446942
CHMP4B	-0.230294239
CASC10	-0.230275151
FAM117B	-0.230256064
CBLN1	-0.230103361
GPR27	-0.229988834
DUSP19	-0.229931571
INPP4B	-0.229778869
MLIP	-0.229740693
AK5	-0.229568903
FAM171B	-0.229530727
GABRA2	-0.229473464
OLFM4	-0.229282586
PTPN3	-0.228919918
DMTN	-0.228843567
MAPK3	-0.228748128
TP53BP1	-0.228748128
NELL1	-0.228595425
RPRD1A	-0.228595425
DUSP26	-0.22855725
MSMO1	-0.22855725
MAPK14	-0.228499987
LCLAT1	-0.228156406
KLHL2	-0.228118231
HTR7P1	-0.228099143
SMG1	-0.228099143
LYRM9	-0.227927353
TRAPPC6B	-0.227908265
LINC00900	-0.227870089
RRAS2	-0.227831914
MYCBP2	-0.227831914
ATP6V1C1	-0.227564685
MTMR3	-0.227526509
CADM1	-0.227450158
HMGN4	-0.227450158
CHRM3	-0.227411982
PNCK	-0.227373807
TPM1	-0.227354719
MAPK1	-0.227335631
ZSCAN18	-0.22725928
CHCHD6	-0.227240192
STX1A	-0.227163841
UNC5B-AS1	-0.227011139
COL21A1	-0.227011139
SCAPER	-0.226858436
PTRH1	-0.226839348
DYNC2LI1	-0.226743909
DDIT4L	-0.226724822
LOC101927027	-0.226514856
LINGO1	-0.226438505
PKIB	-0.226400329
TRMT12	-0.226190363
CREBL2	-0.226075837
RNMT	-0.225999485
LOC105372480	-0.225923134
KIRREL2	-0.225808608
RAVER2	-0.225770432
TMEM181	-0.225732256
GDAP1L1	-0.225674993
HDAC9	-0.22561773
MSANTD1	-0.225541378
LINC02361	-0.225388676
MB21D2	-0.225312325
FAM241B	-0.225274149
ZER1	-0.225159623
UQCC1	-0.225045096
ANXA7	-0.22500692
PRKN	-0.224987832
DLX1	-0.224930569
CEP126	-0.22466334
KCNJ12	-0.224510638
VAMP4	-0.224510638
CLYBL	-0.224396111
RHNO1	-0.224338847
ACTR10	-0.224300672
PHF24	-0.224281584
RTL5	-0.224262496
STRAP	-0.224224321
LOC644189	-0.224167057
MRPS6	-0.224109794
SMAD2	-0.224090706
PDZD2	-0.223995267
PIK3CD	-0.223976179
CTDNEP1	-0.223957091
FNBP1L	-0.22388074
SYT5	-0.223804389
RC3H2	-0.223651687
SLBP	-0.22353716
PIP5K1A	-0.223498984
TMEM130	-0.22336537
ARHGAP29	-0.223346282
SESN1	-0.223327194
NXPH1	-0.223289019
TVP23A	-0.223250843
PDGFD	-0.223231755
SPRYD3	-0.223231755
KCTD4	-0.223155404
DIAPH1	-0.223059965
PPFIBP1	-0.223059965
NDNF	-0.222964526
C1orf21	-0.222811824
WDR26	-0.222716385
UG0898H09	-0.222372805
NRXN1	-0.222334629
NT5C3B	-0.222296453
SCN3B	-0.222277366
LOC100129291	-0.22223919
ETNPPL	-0.222220102
B3GALNT1	-0.222181927
C2CD4C	-0.222124663
NANOS1	-0.222010136
CNRIP1	-0.221991049
CCND2	-0.221914697
MAPK12	-0.221781083
EFNB2	-0.221742907
COL23A1	-0.22172382
CCDC171	-0.221571117
ZNF585A	-0.221571117
ELMO2	-0.221437503
RUNX1T1	-0.221418415
ARID5A	-0.221418415
MBD1	-0.221361151
CNNM4	-0.221303888
OPTN	-0.221189361
SLC26A4-AS1	-0.221093922
MRC1	-0.221017571
FAM133A	-0.220979396
HS6ST1	-0.220826693
LY86-AS1	-0.220712166
ATOH7	-0.220693079
CCNL2	-0.220654903
CALB1	-0.220654903
CGREF1	-0.220616727
PPFIA3	-0.220521288
ZBTB41	-0.220502201
CDH8	-0.220464025
GPR22	-0.220464025
ERFE	-0.220444937
MTFR1L	-0.220406762
LRRC42	-0.220387674
BRCC3	-0.220368586
CTDSPL2	-0.220330411
RBM43	-0.22015862
RGS20	-0.220139533
CPEB1	-0.220101357
NEURL1	-0.220063181
TBC1D14	-0.220025006
GAP43	-0.219967742
POLR2D	-0.219948655
ATP8A2	-0.219929567
LINC01963	-0.219834128
NEURL3	-0.219700513
NUP133	-0.219662338
PKP2	-0.219605074
ACVR2A	-0.219547811
HSF2	-0.219414196
SUPT7L	-0.219337845
MLLT11	-0.219318757
SSTR2	-0.21929967
E2F5	-0.219280582
ARRB2	-0.219261494
SP6	-0.219108792
LOC93622	-0.219032441
ACSM5	-0.218746124
RAD17	-0.218707948
SATB2	-0.218593421
NWD2	-0.218536158
GALNT14	-0.218440719
AP3B2	-0.218421631
CHMP1B	-0.218135314
THAP12	-0.218135314
PIM2	-0.217906261
SRR	-0.217887173
ENC1	-0.217868085
EFCAB1	-0.217848997
STK32C	-0.217772646
LCN15	-0.217772646
TENM3	-0.21773447
SNAI2	-0.21773447
DDB1	-0.21773447
DZIP3	-0.217658119
TXNRD1	-0.21756268
PAXBP1-AS1	-0.217448154
ADCYAP1	-0.217429066
RAB3C	-0.217028222
NR2E1	-0.217028222
LOC389895	-0.216932783
CAMKV	-0.216932783
MOB1B	-0.216894608
UBXN10	-0.216837344
LOC105374952	-0.216799169
TRIB3	-0.216760993
ACADL	-0.216722817
NRG3	-0.21670373
SNAP47	-0.216493764
CELF6	-0.216493764
KIAA1522	-0.216417413
ADCY2	-0.216360149
GUF1	-0.216341062
KIAA1211L	-0.216302886
PRDM16	-0.216302886
LOC729970	-0.216073832
SYT10	-0.216073832
KCTD15	-0.215997481
GABRB1	-0.215978393
ARL15	-0.215902042
AP1M1	-0.215844779
SYNRG	-0.215692076
NUDT4	-0.215672989
ANO10	-0.215653901
LIG4	-0.215520286
MPP6	-0.215482111
METTL9	-0.215329408
HNMT	-0.215233969
GRIK5	-0.21513853
PISD	-0.215119443
ADAD2	-0.214928565
PI4KAP2	-0.214833126
FIGNL1	-0.214508633
LHX6	-0.214508633
ZBBX	-0.214336843
NTNG2	-0.214317755
ST7	-0.214241404
BBS12	-0.214222316
C14orf132	-0.214012351
RGMB	-0.213974175
EDARADD	-0.213974175
KRBOX4	-0.213821473
RPL39L	-0.213802385
CNTNAP3B	-0.213687858
HSP90AB1	-0.21366877
CYP46A1	-0.213611507
SLC7A11	-0.213611507
ZNF831	-0.213573331
PHF20L1	-0.213535156
ACP1	-0.213516068
TMEM183A	-0.213458805
PLEKHA3	-0.213458805
LAMB1	-0.213172488
MUM1L1	-0.2131534
ZCCHC2	-0.213096136
GSTM3	-0.213057961
PPP5D1	-0.213000697
FBXW11	-0.213000697
RPL7L1	-0.212695293
ALDH2	-0.212561678
PI4KA	-0.212523503
NR0B1	-0.212523503
TSPAN6	-0.212504415
CCND3	-0.212389888
CCDC34	-0.2123708
LSP1	-0.212332625
TRIL	-0.212313537
TMEM200C	-0.212275361
CMTM8	-0.212256274
PPP1R12A	-0.212256274
ALDH4A1	-0.212160835
EBPL	-0.212122659
PNMT	-0.211893605
RTN4R	-0.21185543
SLC4A7	-0.21185543
RPS24	-0.211798166
LONRF1	-0.211798166
SLC30A10	-0.211740903
WDR54	-0.211721815
GDA	-0.211721815
LRP12	-0.21168364
GPR63	-0.211645464
PRRG3	-0.211607289
HRK	-0.211454586
LSM6	-0.211454586
VRK1	-0.211359147
ATP6V0E2-AS1	-0.21124462
HECTD2	-0.211168269
TUBB6	-0.211091918
DNAH14	-0.211091918
JRKL	-0.211091918
DGKA	-0.211034655
RSPO3	-0.210977391
ADGRV1	-0.210958303
ANKRD6	-0.210939216
TMEM158	-0.210862865
LYPD6	-0.210862865
FBLL1	-0.210805601
TEKT2	-0.210767426
LY6H	-0.210652899
TLL1	-0.210462021
GALNT13	-0.210328406
ING2	-0.210252055
RRN3	-0.210232967
CTXN1	-0.210194792
ZNF436	-0.210175704
C3orf14	-0.210175704
C2orf73	-0.210099353
PRDM12	-0.210023002
C6orf62	-0.209984826
SFRP2	-0.209984826
ANOS1	-0.209965738
YWHAZ	-0.20994665
SYT16	-0.209927563
RPA2	-0.209908475
PCDH8	-0.209736685
MIR100HG	-0.209698509
RASAL2	-0.209622158
NBDY	-0.20960307
FHL2	-0.20960307
BRD3OS	-0.209526719
OLA1	-0.209488543
STIM1	-0.209335841
ARMC10	-0.209278578
EIF4EBP2	-0.209221314
PID1	-0.209068612
IL12RB2	-0.209011348
CDC7	-0.208992261
PLPP4	-0.208896822
MEST	-0.208744119
CREG1	-0.208744119
RCN1	-0.208744119
PTGER3	-0.208686856
RETREG2	-0.208591417
PAMR1	-0.208534154
EDNRB	-0.208495978
PHF14	-0.208228749
DNAJA4	-0.208190573
GNAZ	-0.208171486
ZNF467	-0.208152398
ZNF473	-0.208152398
GSTM1	-0.208056959
ZNF702P	-0.208018783
TFEC	-0.207999695
LRRC57	-0.20778973
DNAJA1	-0.207751554
RPL26L1	-0.207656115
BTRC	-0.207579764
DLK2	-0.207427062
RAPGEF1	-0.207407974
SPINT2	-0.207388886
FIBIN	-0.207388886
CBFA2T3	-0.207369798
STX17-AS1	-0.20735071
PDS5A	-0.207255271
NT5DC2	-0.207217096
ZNF667-AS1	-0.207121657
MRPL49	-0.207102569
PTPRA	-0.207064393
SNCA	-0.206949867
PEBP1	-0.206949867
CLBA1	-0.206911691
ATG7	-0.206701725
HSPA13	-0.20649176
PSME2	-0.206472672
ZFR2	-0.206415408
TSR2	-0.206396321
NPAS2	-0.206396321
GPRIN1	-0.206243618
LINC01485	-0.206243618
RAB27B	-0.20622453
ZNF605	-0.206110004
KIF3C	-0.206090916
CTH	-0.206071828
STMN1	-0.206014565
USP22	-0.20588095
BCR	-0.205861862
ZYG11B	-0.205823687
BIRC3	-0.205785511
WDR48	-0.205785511
ARF3	-0.205766423
SLIT3	-0.205556458
DCAF11	-0.205403755
EIF2AK4	-0.205384668
RRAGC	-0.20536558
KDELR3	-0.205212877
ACOT2	-0.205117438
FBXO45	-0.205098351
FRRS1L	-0.205079263
KCNQ3	-0.205079263
SOX9-AS1	-0.204964736
ELAVL1	-0.204964736
GLUD1	-0.204945648
FAM110C	-0.20492656
TRUB2	-0.204907473
EID2B	-0.204735683
ASS1	-0.204602068
DROSHA	-0.204544805
CELF5	-0.204544805
LOC148709	-0.204506629
RGS4	-0.204487541
RASA2	-0.204430278
ELFN2	-0.204315751
DRAIC	-0.204124873
AK6	-0.204048522
MYT1	-0.203991259
ATP5MG	-0.203953083
ERO1A	-0.203953083
KCNIP4	-0.203933995
